,age,gender,split,final
125,34,M,01:14:15,02:35:33
126,24,M,01:15:14,02:35:35
127,28,M,01:15:55,02:35:46
128,28,M,01:15:25,02:35:55
129,24,M,01:14:33,02:35:57
130,34,M,01:16:03,02:36:04
131,38,M,01:15:09,02:36:05
132,31,M,01:17:28,02:36:08
133,24,M,01:18:45,02:36:09
134,38,M,01:13:44,02:36:11
135,34,M,01:17:16,02:36:16
136,32,M,01:17:28,02:36:19
137,29,M,01:16:53,02:36:33
138,27,M,01:17:19,02:36:33
139,28,M,01:16:59,02:36:35
140,35,M,01:15:45,02:36:38
141,30,M,01:16:33,02:36:42
142,31,M,01:14:55,02:36:42
143,29,M,01:18:40,02:36:42
144,33,M,01:16:46,02:36:43
145,23,M,01:14:12,02:36:44
146,37,M,01:16:23,02:36:45
147,26,M,01:18:07,02:36:49
148,24,M,01:18:47,02:36:50
149,38,M,01:10:04,02:36:50
150,33,M,01:15:27,02:37:03
151,41,M,01:18:19,02:37:05
152,26,M,01:17:46,02:37:05
153,26,M,01:17:20,02:37:20
154,45,M,01:16:57,02:37:20
155,30,M,01:16:27,02:37:23
156,36,M,01:16:58,02:37:25
157,33,M,01:13:59,02:37:32
158,33,M,01:13:06,02:37:45
159,35,M,01:17:31,02:37:53
160,40,M,01:16:21,02:37:54
161,37,M,01:10:10,02:37:56
162,34,M,01:19:48,02:38:00
163,32,M,01:15:30,02:38:01
164,35,M,01:19:03,02:38:02
165,38,M,01:17:28,02:38:12
166,32,M,01:12:19,02:38:22
167,40,M,01:17:41,02:38:29
168,26,M,01:16:14,02:38:52
169,31,M,01:17:42,02:38:54
170,22,M,01:19:04,02:38:55
171,46,M,01:14:53,02:38:59
172,26,M,01:13:30,02:39:04
173,29,M,01:20:33,02:39:07
174,28,M,01:17:48,02:39:08
175,32,M,01:17:30,02:39:12
176,31,W,01:17:08,02:39:15
177,33,M,01:16:54,02:39:19
178,27,M,01:19:23,02:39:21
179,22,M,01:17:25,02:39:29
180,30,M,01:16:47,02:39:36
181,37,M,01:15:40,02:39:44
182,26,M,01:14:07,02:39:50
183,40,M,01:18:24,02:39:51
184,44,M,01:16:59,02:39:52
185,23,M,01:18:46,02:39:56
186,40,M,01:17:58,02:39:59
187,23,M,01:18:15,02:39:59
188,40,M,01:19:28,02:40:01
189,46,M,01:15:09,02:40:03
190,32,M,01:17:44,02:40:04
191,28,M,01:21:02,02:40:05
192,27,M,01:19:37,02:40:07
193,40,M,01:19:01,02:40:09
194,33,M,01:19:48,02:40:09
195,40,M,01:17:47,02:40:11
196,23,W,01:20:25,02:40:12
197,38,M,01:19:53,02:40:15
198,35,M,01:18:50,02:40:26
199,30,M,01:18:52,02:40:31
200,33,M,01:18:35,02:40:32
201,26,M,01:16:02,02:40:41
202,24,M,01:18:35,02:40:47
203,53,M,01:15:11,02:40:49
204,37,M,01:17:57,02:40:51
205,34,M,01:17:42,02:40:53
206,31,M,01:17:57,02:40:56
207,42,M,01:20:09,02:41:00
208,41,M,01:19:48,02:41:16
209,35,W,01:18:19,02:41:16
210,44,M,01:19:12,02:41:17
211,33,M,01:14:57,02:41:17
212,36,M,01:18:39,02:41:25
213,44,M,01:19:34,02:41:26
214,34,M,01:18:47,02:41:32
215,39,M,01:14:44,02:41:33
216,30,M,01:18:28,02:41:36
217,40,M,01:18:15,02:41:59
218,32,M,01:17:29,02:42:01
219,18,W,01:18:03,02:42:06
220,40,M,01:17:48,02:42:06
221,25,M,01:19:00,02:42:08
222,31,M,01:15:20,02:42:10
223,44,M,01:19:47,02:42:10
224,34,M,01:20:32,02:42:14
225,42,M,01:18:48,02:42:14
226,27,M,01:17:49,02:42:15
227,36,M,01:20:06,02:42:19
228,27,W,01:22:19,02:42:23
229,27,M,01:17:49,02:42:27
230,27,M,01:22:18,02:42:27
231,40,M,01:20:40,02:42:33
232,35,M,01:20:04,02:42:34
233,35,M,01:18:06,02:42:35
234,32,M,01:25:19,02:42:35
235,25,M,01:20:04,02:42:36
236,38,M,01:16:24,02:42:37
237,24,M,01:16:21,02:42:38
238,29,M,01:20:31,02:42:39
239,30,M,01:18:09,02:42:41
240,27,M,01:19:50,02:42:42
241,25,M,01:20:50,02:42:42
242,40,M,01:18:42,02:42:44
243,36,M,01:21:25,02:42:46
244,33,M,01:21:50,02:42:48
245,38,M,01:19:13,02:42:50
246,38,M,01:17:13,02:42:51
247,41,M,01:19:56,02:42:54
248,29,M,01:20:18,02:43:00
249,57,M,01:19:05,02:43:06
250,44,M,01:20:23,02:43:17
251,27,M,01:15:19,02:43:18
252,52,M,01:20:44,02:43:25
253,44,M,01:20:41,02:43:30
254,40,M,01:20:31,02:43:30
255,36,M,01:20:03,02:43:32
256,32,M,01:20:34,02:43:34
257,33,M,01:18:50,02:43:34
258,27,W,01:21:03,02:43:36
259,52,M,01:19:26,02:43:37
260,30,M,01:18:37,02:43:38
261,33,W,01:18:51,02:43:40
262,41,M,01:19:07,02:43:40
263,29,M,01:19:48,02:43:41
264,35,M,01:19:17,02:43:41
265,27,M,01:18:22,02:43:43
266,29,W,01:20:48,02:43:43
267,45,M,01:18:03,02:43:48
268,32,M,01:20:25,02:43:49
269,49,M,01:20:02,02:43:55
270,34,M,01:19:42,02:43:57
271,31,M,01:17:36,02:44:03
272,39,M,01:18:57,02:44:06
273,28,M,01:18:41,02:44:10
274,24,M,01:19:01,02:44:10
275,50,M,01:19:53,02:44:13
276,25,M,01:20:28,02:44:16
277,30,M,01:17:20,02:44:16
278,33,M,01:18:15,02:44:21
279,29,M,01:21:31,02:44:22
280,48,M,01:19:56,02:44:23
281,24,M,01:15:31,02:44:29
282,28,M,01:19:05,02:44:34
283,34,M,01:18:30,02:44:36
284,24,M,01:20:09,02:44:44
285,42,M,01:20:31,02:44:47
286,24,M,01:18:49,02:44:48
287,33,M,01:21:02,02:44:51
288,24,M,01:20:44,02:44:56
289,44,M,01:22:46,02:45:00
290,32,M,01:18:16,02:45:02
291,30,W,01:20:55,02:45:02
292,37,M,01:18:08,02:45:04
293,32,M,01:18:44,02:45:08
294,31,M,01:23:44,02:45:13
295,45,M,01:21:13,02:45:14
296,27,M,01:18:08,02:45:19
297,27,M,01:22:22,02:45:23
298,27,M,01:18:26,02:45:24
299,25,M,01:18:01,02:45:25
300,49,M,01:20:34,02:45:25
301,37,M,01:19:36,02:45:27
302,39,M,01:22:49,02:45:28
303,31,M,01:19:50,02:45:35
304,32,M,01:20:15,02:45:36
305,40,M,01:19:07,02:45:41
306,31,M,01:18:47,02:45:41
307,35,M,01:20:56,02:45:42
308,36,M,01:22:05,02:45:45
309,39,M,01:22:37,02:45:46
310,34,M,01:20:08,02:45:50
311,41,M,01:20:12,02:45:54
312,22,M,01:15:58,02:45:54
313,39,M,01:20:40,02:45:56
314,43,M,01:18:11,02:45:56
315,31,M,01:22:00,02:45:57
316,32,M,01:15:20,02:45:58
317,38,M,01:19:30,02:45:59
318,28,M,01:20:14,02:46:00
319,31,M,01:21:43,02:46:00
320,29,M,01:15:47,02:46:00
321,39,M,01:19:16,02:46:12
322,36,M,01:17:41,02:46:13
323,31,M,01:20:34,02:46:20
324,33,M,01:21:13,02:46:20
325,36,M,01:22:47,02:46:26
326,41,M,01:21:43,02:46:34
327,43,M,01:20:14,02:46:36
328,35,M,01:20:38,02:46:38
329,39,W,01:21:00,02:46:46
330,32,M,01:17:37,02:46:47
331,23,M,01:13:40,02:46:47
332,30,W,01:21:29,02:46:48
333,31,M,01:23:43,02:46:48
334,23,W,01:20:48,02:46:50
335,49,M,01:22:17,02:46:51
336,36,M,01:21:55,02:46:51
337,41,M,01:18:34,02:46:52
338,42,M,01:21:43,02:47:00
339,38,M,01:22:23,02:47:00
340,38,M,01:24:03,02:47:06
341,32,M,01:17:41,02:47:14
342,27,M,01:21:40,02:47:16
343,46,M,01:20:30,02:47:22
344,41,M,01:14:49,02:47:22
345,39,M,01:22:40,02:47:25
346,40,M,01:19:21,02:47:25
347,30,M,01:21:36,02:47:28
348,25,M,01:20:23,02:47:28
349,28,M,01:23:24,02:47:31
350,27,M,01:22:10,02:47:33
351,27,M,01:14:52,02:47:34
352,37,M,01:22:00,02:47:36
353,45,M,01:22:52,02:47:37
354,41,M,01:22:03,02:47:37
355,37,M,01:18:08,02:47:37
356,29,M,01:21:30,02:47:39
357,35,M,01:22:21,02:47:40
358,40,M,01:20:31,02:47:42
359,37,M,01:18:52,02:47:44
360,39,W,01:20:53,02:47:45
361,44,M,01:23:37,02:47:48
362,37,M,01:19:19,02:47:49
363,26,M,01:24:09,02:47:50
364,44,M,01:25:37,02:47:51
365,33,M,01:20:43,02:47:51
366,31,M,01:23:08,02:47:52
367,26,M,01:24:51,02:47:59
368,37,M,01:21:28,02:48:02
369,47,M,01:23:27,02:48:03
370,29,M,01:21:20,02:48:06
371,45,M,01:23:08,02:48:07
372,40,M,01:21:50,02:48:08
373,26,M,01:21:57,02:48:09
374,29,M,01:19:03,02:48:10
375,47,M,01:23:24,02:48:11
376,32,M,01:22:17,02:48:18
377,40,M,01:22:19,02:48:18
378,40,M,01:21:58,02:48:18
379,39,M,01:19:58,02:48:20
380,28,M,01:23:22,02:48:21
381,34,M,01:17:36,02:48:24
382,38,M,01:21:00,02:48:26
383,33,M,01:20:37,02:48:26
384,56,M,01:21:13,02:48:30
385,44,M,01:22:10,02:48:31
386,31,M,01:14:35,02:48:31
387,34,M,01:25:35,02:48:34
388,43,M,01:24:12,02:48:37
389,24,M,01:21:09,02:48:42
390,36,M,01:22:26,02:48:44
391,26,M,01:17:09,02:48:45
392,45,M,01:24:57,02:48:47
393,45,M,01:23:34,02:48:48
394,25,M,01:25:44,02:48:56
395,28,M,01:18:38,02:48:58
396,35,M,01:24:00,02:48:58
397,35,M,01:22:50,02:49:00
398,38,M,01:15:49,02:49:00
399,24,M,01:22:35,02:49:02
400,37,M,01:22:03,02:49:02
401,40,M,01:22:38,02:49:02
402,36,M,01:20:26,02:49:03
403,40,M,01:22:57,02:49:07
404,34,M,01:23:34,02:49:09
405,30,M,01:23:59,02:49:10
406,33,M,01:23:29,02:49:10
407,41,M,01:19:02,02:49:12
408,44,M,01:21:01,02:49:13
409,57,M,01:21:57,02:49:16
410,36,M,01:21:47,02:49:20
411,27,M,01:22:31,02:49:23
412,30,M,01:20:14,02:49:27
413,28,W,01:22:12,02:49:29
414,48,M,01:22:56,02:49:29
415,37,M,01:17:03,02:49:31
416,45,M,01:22:27,02:49:31
417,21,M,01:23:40,02:49:34
418,32,M,01:22:22,02:49:34
419,49,M,01:22:00,02:49:36
420,27,M,01:24:32,02:49:36
421,22,M,01:20:35,02:49:37
422,28,M,01:22:16,02:49:40
423,25,W,01:18:00,02:49:41
424,40,M,01:23:23,02:49:46
425,43,M,01:21:41,02:49:48
426,52,M,01:23:05,02:49:49
427,23,M,01:15:55,02:49:50
428,41,M,01:19:34,02:49:51
429,41,M,01:24:05,02:49:51
430,51,M,01:23:47,02:49:58
431,37,M,01:24:22,02:49:58
432,34,M,01:22:07,02:49:58
433,47,M,01:24:50,02:50:04
434,49,M,01:22:00,02:50:06
435,41,M,01:23:36,02:50:08
436,37,M,01:19:50,02:50:09
437,38,M,01:20:59,02:50:10
438,30,M,01:22:46,02:50:11
439,43,M,01:21:30,02:50:14
440,46,M,01:24:00,02:50:14
441,42,M,01:21:24,02:50:16
442,37,M,01:18:27,02:50:17
443,51,M,01:24:10,02:50:19
444,37,M,01:21:06,02:50:20
445,24,M,01:23:52,02:50:21
446,49,M,01:22:50,02:50:22
447,38,W,01:24:26,02:50:23
448,36,M,01:25:35,02:50:24
449,32,M,01:23:21,02:50:26
450,43,M,01:22:58,02:50:28
451,38,M,01:23:06,02:50:29
452,27,M,01:18:15,02:50:29
453,42,M,01:22:21,02:50:29
454,48,M,01:22:25,02:50:29
455,23,M,01:17:11,02:50:30
456,38,M,01:25:20,02:50:32
457,29,M,01:23:43,02:50:32
458,32,M,01:18:56,02:50:36
459,29,M,01:15:17,02:50:40
460,40,M,01:21:48,02:50:47
461,49,M,01:24:49,02:50:48
462,26,M,01:23:01,02:50:50
463,24,M,01:20:40,02:50:53
464,34,W,01:24:13,02:50:53
465,34,M,01:19:47,02:50:55
466,40,M,01:25:17,02:50:57
467,30,M,01:25:17,02:50:57
468,20,M,01:21:48,02:50:57
469,27,M,01:21:05,02:50:58
470,38,M,01:22:30,02:51:00
471,39,M,01:21:50,02:51:01
472,28,M,01:20:33,02:51:01
473,35,M,01:20:24,02:51:01
474,39,M,01:23:38,02:51:01
475,41,M,01:23:35,02:51:03
476,41,M,01:24:03,02:51:03
477,28,M,01:24:34,02:51:05
478,31,M,01:23:54,02:51:08
479,34,M,01:17:57,02:51:10
480,30,M,01:22:13,02:51:11
481,39,M,01:24:31,02:51:15
482,26,M,01:26:00,02:51:16
483,41,M,01:22:12,02:51:17
484,40,M,01:24:45,02:51:17
485,27,M,01:20:35,02:51:19
486,37,M,01:22:17,02:51:19
487,38,M,01:22:39,02:51:20
488,39,M,01:20:57,02:51:21
489,41,W,01:24:18,02:51:25
490,52,M,01:23:09,02:51:26
491,42,M,01:25:35,02:51:27
492,36,M,01:23:38,02:51:28
493,31,M,01:25:06,02:51:29
494,42,M,01:23:25,02:51:29
495,28,M,01:23:52,02:51:31
496,41,M,01:22:21,02:51:32
497,42,M,01:21:49,02:51:33
498,36,W,01:22:16,02:51:34
499,48,M,01:23:37,02:51:35
500,30,M,01:22:43,02:51:38
501,35,M,01:23:52,02:51:38
502,34,M,01:22:44,02:51:40
503,21,M,01:23:34,02:51:41
504,44,M,01:19:33,02:51:41
505,50,M,01:22:24,02:51:42
506,40,M,01:23:57,02:51:42
507,40,M,01:24:54,02:51:44
508,31,M,01:22:30,02:51:47
509,28,M,01:23:01,02:51:49
510,38,M,01:24:29,02:51:51
511,28,M,01:23:46,02:51:52
512,35,M,01:21:22,02:51:54
513,21,M,01:20:04,02:51:55
514,28,M,01:22:53,02:51:57
515,31,W,01:25:52,02:51:58
516,39,M,01:23:17,02:51:58
517,42,M,01:19:36,02:51:59
518,34,M,01:23:33,02:51:59
519,46,M,01:24:50,02:51:59
520,22,W,01:25:11,02:52:01
521,35,M,01:25:40,02:52:06
522,44,M,01:24:36,02:52:07
523,52,M,01:23:02,02:52:08
524,47,M,01:21:52,02:52:08
525,50,M,01:24:50,02:52:10
526,43,M,01:19:34,02:52:14
527,49,M,01:24:24,02:52:14
528,40,M,01:21:57,02:52:14
529,29,M,01:21:54,02:52:15
530,33,W,01:26:52,02:52:18
531,33,M,01:26:31,02:52:18
532,34,M,01:24:20,02:52:21
533,53,M,01:23:43,02:52:24
534,27,M,01:26:18,02:52:25
535,38,M,01:23:07,02:52:25
536,33,M,01:27:03,02:52:25
537,40,M,01:24:56,02:52:27
538,25,M,01:25:50,02:52:27
539,25,M,01:26:01,02:52:27
540,30,M,01:26:25,02:52:28
541,35,M,01:24:14,02:52:28
542,29,M,01:22:30,02:52:31
543,37,M,01:16:49,02:52:31
544,34,M,01:21:54,02:52:31
545,27,W,01:25:05,02:52:33
546,33,M,01:23:51,02:52:34
547,38,M,01:23:17,02:52:36
548,39,M,01:25:06,02:52:38
549,28,M,01:23:41,02:52:39
550,43,M,01:24:17,02:52:43
551,51,M,01:22:12,02:52:44
552,32,W,01:24:21,02:52:44
553,36,M,01:24:59,02:52:45
554,44,M,01:25:57,02:52:46
555,51,M,01:24:27,02:52:48
556,31,M,01:24:15,02:52:49
557,39,W,01:25:10,02:52:50
558,39,M,01:23:18,02:52:51
559,30,M,01:25:00,02:52:53
560,44,M,01:23:08,02:52:56
561,49,M,01:24:32,02:52:57
562,37,M,01:22:46,02:53:00
563,30,M,01:23:13,02:53:03
564,33,M,01:22:00,02:53:04
565,39,M,01:24:21,02:53:05
566,40,M,01:23:26,02:53:06
567,32,M,01:22:55,02:53:06
568,40,M,01:24:40,02:53:06
569,31,M,01:22:51,02:53:10
570,25,M,01:21:25,02:53:12
571,36,M,01:15:26,02:53:14
572,41,M,01:20:48,02:53:17
573,29,M,01:22:23,02:53:17
574,38,M,01:24:56,02:53:21
575,42,M,01:24:34,02:53:25
576,26,M,01:23:46,02:53:25
577,37,M,01:22:45,02:53:25
578,42,M,01:21:36,02:53:26
579,38,M,01:21:43,02:53:27
580,47,M,01:22:27,02:53:28
581,45,M,01:23:36,02:53:28
582,35,M,01:24:24,02:53:29
583,30,M,01:26:26,02:53:31
584,23,M,01:24:01,02:53:31
585,31,M,01:27:01,02:53:32
586,41,M,01:26:28,02:53:35
587,31,M,01:22:26,02:53:40
588,44,M,01:21:30,02:53:43
589,32,M,01:24:29,02:53:44
590,46,M,01:24:02,02:53:45
591,38,M,01:25:07,02:53:46
592,44,M,01:23:49,02:53:47
593,51,M,01:25:36,02:53:47
594,32,M,01:26:08,02:53:48
595,33,M,01:26:17,02:53:48
596,29,W,01:28:06,02:53:50
597,50,M,01:22:43,02:53:52
598,45,M,01:23:54,02:53:52
599,39,M,01:23:30,02:53:54
600,30,M,01:23:24,02:53:55
601,30,M,01:27:32,02:53:55
602,30,W,01:24:16,02:53:59
603,40,M,01:19:40,02:53:59
604,28,M,01:24:38,02:53:59
605,27,M,01:18:43,02:54:01
606,33,M,01:20:17,02:54:02
607,27,W,01:24:40,02:54:04
608,42,M,01:26:39,02:54:04
609,45,M,01:25:12,02:54:05
610,39,M,01:24:16,02:54:06
611,44,M,01:23:10,02:54:07
612,36,M,01:25:05,02:54:07
613,33,M,01:22:43,02:54:08
614,44,M,01:26:03,02:54:09
615,42,M,01:26:13,02:54:11
616,37,M,01:24:58,02:54:11
617,25,M,01:22:53,02:54:14
618,25,W,01:25:23,02:54:18
619,45,M,01:22:35,02:54:21
620,31,M,01:25:47,02:54:22
621,44,M,01:24:01,02:54:22
622,34,M,01:27:01,02:54:24
623,39,W,01:26:15,02:54:24
624,46,M,01:23:12,02:54:31
625,36,M,01:26:29,02:54:31
626,39,M,01:25:11,02:54:31
627,32,M,01:25:26,02:54:32
628,45,M,01:25:01,02:54:35
629,49,M,01:26:34,02:54:39
630,39,M,01:26:25,02:54:40
631,37,M,01:22:26,02:54:42
632,28,M,01:24:11,02:54:42
633,24,M,01:23:15,02:54:42
634,39,M,01:25:35,02:54:45
635,43,M,01:25:14,02:54:46
636,37,M,01:26:05,02:54:47
637,33,M,01:26:52,02:54:49
638,35,M,01:23:24,02:54:50
639,32,W,01:27:49,02:54:51
640,46,M,01:25:28,02:54:52
641,44,M,01:24:52,02:54:55
642,39,W,01:24:03,02:54:55
643,24,M,01:21:11,02:54:57
644,27,M,01:23:16,02:54:57
645,28,W,01:26:08,02:54:58
646,41,W,01:24:55,02:55:02
647,41,M,01:22:21,02:55:03
648,35,M,01:25:44,02:55:04
649,40,M,01:24:15,02:55:04
650,34,M,01:25:07,02:55:04
651,39,M,01:21:54,02:55:06
652,40,M,01:24:15,02:55:06
653,25,M,01:27:42,02:55:09
654,51,M,01:25:02,02:55:12
655,43,M,01:24:33,02:55:15
656,42,M,01:22:47,02:55:16
657,45,M,01:23:32,02:55:18
658,29,M,01:18:41,02:55:18
659,52,M,01:24:57,02:55:21
660,25,W,01:25:41,02:55:23
661,37,M,01:23:29,02:55:23
662,25,M,01:24:21,02:55:23
663,32,M,01:26:30,02:55:25
664,40,M,01:23:39,02:55:25
665,37,M,01:25:30,02:55:25
666,29,M,01:29:45,02:55:25
667,42,M,01:23:58,02:55:28
668,39,M,01:22:23,02:55:30
669,45,M,01:26:16,02:55:32
670,40,M,01:27:03,02:55:32
671,48,M,01:26:08,02:55:33
672,42,M,01:23:23,02:55:35
673,32,M,01:22:28,02:55:37
674,30,M,01:24:06,02:55:38
675,50,M,01:25:00,02:55:41
676,32,W,01:25:40,02:55:42
677,33,M,01:26:35,02:55:43
678,49,M,01:25:19,02:55:43
679,38,W,01:26:36,02:55:43
680,51,M,01:23:42,02:55:45
681,43,M,01:22:33,02:55:46
682,30,M,01:24:13,02:55:48
683,37,W,01:26:59,02:55:49
684,44,M,01:22:22,02:55:50
685,33,M,01:24:20,02:55:51
686,52,M,01:24:33,02:55:54
687,44,M,01:25:26,02:55:54
688,40,M,01:26:49,02:55:55
689,41,W,01:24:25,02:55:56
690,25,M,01:22:00,02:55:57
691,31,M,01:23:19,02:55:57
692,42,M,01:27:07,02:55:58
693,30,W,01:27:02,02:56:00
694,45,M,01:24:43,02:56:01
695,40,M,01:23:55,02:56:06
696,30,M,01:23:44,02:56:06
697,40,M,01:27:16,02:56:07
698,42,M,01:24:42,02:56:07
699,43,M,01:24:49,02:56:09
700,32,M,01:24:25,02:56:10
701,44,M,01:26:52,02:56:13
702,34,M,01:25:48,02:56:13
703,32,M,01:24:17,02:56:15
704,40,M,01:25:02,02:56:18
705,28,M,01:20:54,02:56:19
706,27,M,01:26:13,02:56:21
707,43,M,01:23:07,02:56:22
708,28,M,01:30:42,02:56:24
709,30,M,01:20:27,02:56:26
710,42,M,01:23:05,02:56:27
711,27,M,01:24:16,02:56:28
712,42,M,01:24:24,02:56:28
713,38,M,01:27:36,02:56:28
714,39,M,01:27:17,02:56:29
715,37,M,01:24:15,02:56:30
716,42,M,01:29:53,02:56:33
717,40,M,01:26:08,02:56:35
718,41,M,01:26:39,02:56:35
719,36,M,01:23:39,02:56:35
720,29,W,01:25:02,02:56:36
721,53,M,01:25:07,02:56:36
722,42,M,01:28:19,02:56:36
723,43,M,01:22:27,02:56:37
724,42,M,01:26:13,02:56:38
725,22,W,01:26:02,02:56:39
726,41,M,01:28:27,02:56:39
727,46,M,01:24:03,02:56:41
728,26,M,01:29:32,02:56:42
729,41,M,01:22:29,02:56:44
730,26,M,01:26:16,02:56:45
731,42,M,01:26:17,02:56:47
732,36,M,01:26:42,02:56:48
733,34,M,01:23:18,02:56:48
734,49,M,01:27:00,02:56:49
735,35,M,01:27:37,02:56:49
736,36,M,01:24:45,02:56:49
737,41,M,01:22:38,02:56:50
738,38,M,01:26:08,02:56:50
739,50,M,01:23:59,02:56:51
740,41,M,01:22:43,02:56:51
741,38,M,01:25:42,02:56:52
742,28,W,01:24:16,02:56:53
743,46,M,01:26:17,02:56:54
744,29,M,01:26:23,02:56:54
745,38,M,01:27:14,02:56:56
746,44,M,01:24:02,02:56:56
747,47,M,01:24:37,02:56:57
748,33,M,01:27:02,02:56:58
749,35,M,01:23:37,02:56:58
750,42,M,01:25:30,02:56:59
751,26,M,01:28:12,02:57:01
752,44,M,01:25:43,02:57:01
753,37,M,01:27:27,02:57:03
754,38,M,01:26:28,02:57:03
755,41,W,01:28:01,02:57:04
756,46,M,01:24:35,02:57:06
757,36,M,01:27:39,02:57:09
758,25,M,01:22:50,02:57:10
759,42,M,01:28:24,02:57:13
760,40,M,01:27:19,02:57:14
761,37,M,01:24:54,02:57:17
762,28,M,01:24:10,02:57:19
763,44,M,01:24:29,02:57:20
764,42,M,01:27:57,02:57:20
765,56,M,01:26:13,02:57:20
766,33,M,01:23:29,02:57:21
767,39,M,01:25:36,02:57:23
768,50,M,01:26:15,02:57:23
769,38,M,01:30:08,02:57:24
770,42,M,01:26:57,02:57:25
771,29,M,01:24:09,02:57:26
772,32,M,01:25:52,02:57:26
773,36,M,01:26:56,02:57:27
774,32,M,01:26:59,02:57:27
775,34,M,01:24:34,02:57:27
